Task number Cost reduction,Final cost,Optimisation time (ms),Number iterations,Average percent derivs
0,0.0,1039.252348490242,9.395777702331543,2,1.639344262295082
1,0.0,1039.3133801492743,9.33350682258606,2,1.639344262295082
2,0.0,1039.3747094083064,9.298803329467773,2,1.639344262295082
3,0.0,1039.436336267339,9.416007995605469,2,1.639344262295082
4,0.0,1039.498260726371,9.250874519348145,2,1.639344262295082
5,0.0,1039.5604827854033,9.262051105499268,2,1.639344262295082
6,0.0,1039.1916144312097,9.048041582107544,2,1.639344262295082
7,0.0,1039.1311779721773,9.279646158218384,2,1.639344262295082
8,0.0,1039.0710391131452,9.253355741500854,2,1.639344262295082
9,0.0,1039.0111978541129,9.079276084899902,2,1.639344262295082
10,0.0,1039.6230024444358,9.30772876739502,2,1.639344262295082
11,0.0,1039.6858197034678,9.0856351852417,2,1.639344262295082
12,0.0,1039.7489345625002,9.159688234329224,2,1.639344262295082
13,0.0,1039.8123470215326,9.12170934677124,2,1.639344262295082
14,0.0,1039.8760570805648,9.31078028678894,2,1.639344262295082
15,0.0,1038.9516541950804,9.019960641860962,2,1.639344262295082
16,0.0,1038.8924081360483,9.335624694824219,2,1.639344262295082
17,0.0,1038.833459677016,9.292710781097412,2,1.639344262295082
18,0.0,1038.7748088179837,9.284501552581787,2,1.639344262295082
19,0.0,1038.7164555589513,9.26796269416809,2,1.639344262295082
