Iteration,Cost,Cost reduction,time (ms)
0,1039.1916144312097,0.0,8770.236730575562
1,602.3338517244914,0.4203823016276239,14266.090393066406
2,115.03839466010183,0.8893001126427806,20042.895078659058
3,42.11906548443805,0.9594693943835455,25480.50880432129
4,35.71264943547037,0.9656342016818358,31595.794677734375
5,30.073409679867893,0.9710607656352883,37129.420042037964
6,24.29207862181547,0.9766240621224495,42380.06496429443
7,10.517023603703395,0.98987961078818,47731.80603981018
8,9.554703928550614,0.9908056379633314,59408.06341171265
9,7.512135192925367,0.9927711741621038,67468.985080719
10,6.8387596388716005,0.9934191543273617,73884.17077064514
11,6.72387971622322,0.9935297017192508,80230.60917854309
12,6.719644097471494,0.9935337775977442,86967.37623214722
13,6.629235017559068,0.9936207770294726,92805.34267425537
14,6.559113500569088,0.993688254014483,98699.42712783813
15,6.543807357584651,0.9937029829083385,104806.98847770691
16,6.533654072730736,0.9937127532766834,109956.68578147888
17,6.392663956768308,0.9938484261535663,115931.42485618591
18,6.365600926517523,0.9938744685406246,121069.86594200134
19,6.354502067078895,0.9938851488225712,126213.70553970337
20,6.307712761351073,0.9939301735370493,132164.3030643463
21,6.297451898117911,0.9939400474266098,137221.41432762146
22,6.2915794919572905,0.9939456983634333,141907.80782699585
23,6.27671404122642,0.9939600031851086,147067.7399635315
24,6.262975789835673,0.9939732233181426,152277.64558792114
25,6.242134177549818,0.9939932789190505,156352.26917266846
26,6.187328027109548,0.9940460181344938,161613.23380470276
27,6.164296055399899,0.9940681814885758,168694.8697566986
28,6.114828626745586,0.994115783324433,177307.8441619873
29,6.070119288363858,0.9941588065145365,186123.31223487854
30,6.000537951890233,0.9942257636911604,194653.13816070557
31,5.910258806172257,0.9943126380889754,203346.33326530457
32,5.784464587187453,0.9944336881602402,213600.0657081604
33,5.6399265439160615,0.9945727751594656,222141.46518707275
34,5.566945558992715,0.9946430037716965,230795.03870010376
35,5.414086735167196,0.9947900977452262,240859.5588207245
36,5.2892944462269185,0.9949101836727946,252069.2913532257
37,5.1519606184420805,0.9950423381531404,263691.9233798981
38,5.060119486728537,0.9951307156288995,279602.343082428
39,5.005812585788529,0.995182974423318,289353.7781238556
40,4.918816630127247,0.9952666894518587,302334.9049091339
41,4.902716813217808,0.9952821820873706,312414.7503376007
42,4.82291413013867,0.9953589751272401,322958.92119407654
43,4.694726310408016,0.9954823285280476,332911.3698005676
44,4.61656778975631,0.9955575394127067,342092.5643444061
45,4.592889235873548,0.9955803249640468,351626.1947154999
46,4.571081936627893,0.9956013098324221,360927.5412559509
47,4.559600319143967,0.9956123584372458,369933.1328868866
48,4.525777010612828,0.9956449061484296,378862.71810531616
49,4.49972043089812,0.9956699800417838,388360.71705818176
50,4.473348317254021,0.9956953575691597,397739.12382125854
51,4.446664047257911,0.9957210354803606,407026.3478755951
52,4.425113506398535,0.9957417732736223,416461.6072177887
53,4.413641393573586,0.9957528127322416,426475.4135608673
54,4.407160634856734,0.9957590490784811,435919.87323760986
55,4.40643044710168,0.995759751728257,445958.48178863525
