Task number Cost reduction,Final cost,Optimisation time (ms),Number iterations,Average percent derivs
0,0.05334587890508802,7.283006457879118,2.5850613117218018,4,1.639344262295082
1,0.05383091487871472,7.335731646986361,2.5561888217926025,4,1.639344262295082
2,0.05430647349697704,7.388754435725319,2.5705642700195312,4,1.639344262295082
3,0.054772717383807845,7.442074824095991,2.552694082260132,4,1.639344262295082
4,0.055229806330691855,7.495692812098386,2.556056499481201,4,1.639344262295082
5,0.055677897343941685,7.549608399732493,2.570108413696289,4,1.639344262295082
6,0.052851200071865834,7.23057886840359,2.5505757331848145,4,1.639344262295082
7,0.05234670994609947,7.1784488785597835,2.539712429046631,4,1.639344262295082
8,0.051832237117143465,7.1266164883476915,2.550788402557373,4,1.639344262295082
9,0.05130760714712079,7.075081697767314,2.5406219959259033,4,1.639344262295082
10,0.056117144691382514,7.603821586998313,2.572033166885376,4,1.639344262295082
11,0.05654769994845332,7.658332373895851,2.5921387672424316,4,1.639344262295082
12,0.05696971204371559,7.713140760425105,2.547365188598633,4,1.639344262295082
13,0.05738332730375839,7.7682467465860725,2.588308334350586,4,1.639344262295082
14,0.057788689497509704,7.823650332378756,2.538177728652954,4,1.639344262295082
15,0.0507726425208499,7.023844506818657,2.5303945541381836,4,1.639344262295082
16,0.0502271625952464,6.972904915501717,2.5455846786499023,4,1.639344262295082
17,0.049670983548206205,6.922262923816494,2.551410436630249,4,1.639344262295082
18,0.049103918326991236,6.871918531762988,2.5904204845428467,4,1.639344262295082
19,0.048525776596132775,6.821871739341203,2.5582656860351562,4,1.639344262295082
